Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
29.74876308441162	0	7.286754	2.9524395	27.0	3.0	7.286754002911208	2.9524394624393206	5006	5006
60.401143312454224	1	4.2238173	0.6586793	7.0	3.0	4.2238175675675675	0.6586792839848844	5001	10007
104.39575290679932	2	5.404968	0.8946307	10.0	3.0	5.4049676025917925	0.894630701363964	5005	15012
136.9908173084259	3	11.176339	2.3599472	21.0	6.0	11.176339285714286	2.3599472207838046	5007	20019
173.0893280506134	4	29.20349	9.481891	68.0	13.0	29.203488372093023	9.481891525483066	5023	25042
203.56567764282227	5	13.407507	2.1019964	20.0	8.0	13.407506702412869	2.10199635813989	5001	30043
236.2151234149933	6	11.316742	1.8110123	18.0	7.0	11.316742081447964	1.8110121345749088	5002	35045
270.6913571357727	7	11.288939	2.0241296	17.0	6.0	11.288939051918735	2.024129722059708	5001	40046
305.2741060256958	8	13.556757	3.3114495	30.0	7.0	13.556756756756757	3.3114494695648573	5016	45062
339.5673146247864	9	18.34066	5.891982	50.0	8.0	18.34065934065934	5.891982098167253	5007	50069
374.1801481246948	10	29.839285	10.470668	79.0	12.0	29.839285714285715	10.470667848999968	5013	55082
401.3857636451721	11	25.651281	11.598914	68.0	10.0	25.651282051282053	11.59891400298546	5002	60084
436.75248432159424	12	19.175573	6.279715	58.0	9.0	19.17557251908397	6.279715212133775	5024	65108
471.6405520439148	13	16.791946	4.8615394	40.0	7.0	16.79194630872483	4.861539469194924	5004	70112
505.57054114341736	14	18.533333	4.746617	33.0	9.0	18.533333333333335	4.746616728825951	5004	75116
536.4764997959137	15	23.353489	6.6364512	47.0	11.0	23.35348837209302	6.636451448723191	5021	80137
567.917388677597	16	40.39516	13.446321	79.0	15.0	40.395161290322584	13.446320127603142	5009	85146
596.4167993068695	17	62.6625	20.70866	161.0	21.0	62.6625	20.70865987334767	5013	90159
628.8107388019562	18	42.567795	7.932425	64.0	23.0	42.567796610169495	7.932425210573652	5023	95182
661.1018390655518	19	44.794643	4.8479347	59.0	30.0	44.794642857142854	4.84793474595321	5017	100199
689.6514785289764	20	46.546295	4.3745565	61.0	39.0	46.5462962962963	4.374556610885054	5027	105226
714.9622428417206	21	52.572918	5.8767633	72.0	42.0	52.572916666666664	5.87676355032163	5047	110273
750.0483419895172	22	92.81481	10.544569	121.0	73.0	92.81481481481481	10.544568681051405	5012	115285
786.4433009624481	23	896.8333	146.58379	1000.0	666.0	896.8333333333334	146.58378339896797	5381	120666
821.8963069915771	24	583.0	305.22305	1000.0	155.0	583.0	305.22305140849227	5247	125913
852.145325422287	25	228.54546	157.53404	648.0	35.0	228.54545454545453	157.53404459548284	5028	130941
884.1790745258331	26	135.45946	71.05788	292.0	30.0	135.45945945945945	71.05787309959076	5012	135953
917.2855417728424	27	125.65	97.43294	438.0	25.0	125.65	97.43293847565104	5026	140979
948.697820186615	28	96.20755	90.84849	384.0	25.0	96.20754716981132	90.84848644974795	5099	146078
980.9798731803894	29	139.22223	160.55876	768.0	25.0	139.22222222222223	160.5587658271906	5012	151090
1013.4944870471954	30	313.17648	302.331	1000.0	28.0	313.1764705882353	302.33099027665173	5324	156414
1050.31494140625	31	469.08334	454.0775	1000.0	28.0	469.0833333333333	454.0775371257889	5629	162043
1080.7051482200623	32	406.46155	337.26038	1000.0	31.0	406.46153846153845	337.26036857748016	5284	167327
1113.8012425899506	33	231.45454	278.93854	1000.0	29.0	231.45454545454547	278.93852813718445	5092	172419
1148.5580086708069	34	388.69232	312.47754	1000.0	36.0	388.6923076923077	312.47754002128136	5053	177472
1182.9045503139496	35	712.0	398.80228	1000.0	33.0	712.0	398.8022693014672	5696	183168
1213.2639789581299	36	631.0	393.78357	1000.0	33.0	631.0	393.7835699975305	5048	188216
1252.284611940384	37	499.0	318.44708	1000.0	12.0	499.0	318.4470842299321	5489	193705
1284.4451293945312	38	382.35715	288.167	1000.0	30.0	382.35714285714283	288.16701683543994	5353	199058
1319.4547548294067	39	232.90909	169.15025	620.0	34.0	232.9090909090909	169.15025840168076	5124	204182
1351.34121799469	40	179.17857	145.84312	564.0	28.0	179.17857142857142	145.84312843684097	5017	209199
1382.0297918319702	41	173.31035	126.537186	493.0	27.0	173.31034482758622	126.53719732465093	5026	214225
