TimeStep	MeanReturn	BestMeanReturn	Episodes	Exploration	LearningRate	Time
60000	207.0	243.5	252	0.946	0.0001	6.878508150577545
70000	230.5	243.5	293	0.9369999999999999	0.0001	8.612255195776621
80000	250.0	250.0	333	0.9279999999999999	0.0001	10.337807949384054
90000	266.0	269.5	373	0.919	0.0001	12.098027090231577
100000	272.5	277.5	413	0.91	0.0001	13.803491632143656
110000	260.5	277.5	454	0.901	0.0001	15.55530081987381
120000	241.5	277.5	496	0.892	0.0001	17.26483850479126
130000	240.0	277.5	536	0.883	0.0001	19.073972483476002
140000	247.0	277.5	577	0.874	0.0001	20.78949730396271
150000	245.0	277.5	618	0.865	0.0001	22.54467421770096
160000	232.5	277.5	660	0.856	0.0001	24.267118060588835
170000	224.5	277.5	704	0.847	0.0001	25.988723226388295
180000	237.0	277.5	745	0.838	0.0001	27.822887134552
190000	236.0	277.5	790	0.829	0.0001	29.47915117343267
200000	229.5	277.5	834	0.82	0.0001	31.223289581139884
210000	237.0	277.5	876	0.8109999999999999	0.0001	32.93460884888967
220000	251.5	277.5	918	0.802	0.0001	34.698581246534985
230000	260.0	277.5	959	0.7929999999999999	0.0001	36.41615861256917
240000	261.0	277.5	1001	0.784	0.0001	38.17468312184016
250000	246.5	277.5	1047	0.775	0.0001	39.92381497224172
260000	234.0	277.5	1091	0.766	0.0001	41.71076242129008
270000	246.0	277.5	1132	0.757	0.0001	43.472023351987204
280000	271.5	277.5	1174	0.748	0.0001	45.2085436185201
290000	285.5	285.5	1218	0.739	0.0001	46.990340888500214
300000	282.5	289.0	1260	0.73	0.0001	48.806165905793506
310000	302.0	305.0	1304	0.721	0.0001	50.66825437943141
320000	314.0	315.0	1347	0.712	0.0001	52.50428046385447
330000	305.0	318.0	1389	0.703	0.0001	54.29275465408961
340000	317.5	320.5	1431	0.694	0.0001	56.08782660961151
350000	310.0	325.0	1475	0.685	0.0001	57.82383514642716
360000	329.5	332.0	1515	0.6759999999999999	0.0001	59.61956284046173
370000	330.5	340.5	1557	0.667	0.0001	61.44246572653453
380000	332.5	340.5	1600	0.6579999999999999	0.0001	63.261706646283464
390000	327.5	340.5	1642	0.649	0.0001	65.0519262433052
400000	340.5	346.5	1684	0.6399999999999999	0.0001	66.9225534359614
410000	352.0	352.0	1725	0.631	0.0001	68.70778677463531
420000	359.0	362.5	1766	0.622	0.0001	70.55572630961736
430000	369.5	372.5	1807	0.613	0.0001	72.37831394672394
440000	367.0	379.5	1848	0.604	0.0001	74.20477431217829
450000	389.5	401.0	1887	0.595	0.0001	76.0496676683426
460000	402.5	402.5	1929	0.586	0.0001	77.8911299943924
470000	405.0	418.0	1970	0.577	0.0001	79.61678936481476
480000	402.5	418.0	2010	0.5680000000000001	0.0001	81.53623780012131
490000	414.5	419.5	2049	0.5589999999999999	0.0001	83.34751050074895
500000	434.5	439.5	2089	0.55	0.0001	85.17178715467453
510000	441.5	449.0	2128	0.5409999999999999	0.0001	87.048371275266
520000	470.0	475.0	2164	0.532	0.0001	88.8782571752866
530000	492.5	493.0	2202	0.5229999999999999	0.0001	90.72253081798553
540000	520.5	523.0	2240	0.514	0.0001	92.57912615537643
550000	531.5	535.0	2277	0.5049999999999999	0.0001	94.43169466257095
560000	548.5	552.0	2311	0.4959999999999999	0.0001	96.2978492895762
570000	532.5	559.0	2350	0.487	0.0001	98.21151615381241
580000	498.5	559.0	2389	0.478	0.0001	100.02155180374781
590000	522.0	559.0	2424	0.469	0.0001	101.89891767899195
600000	550.5	559.0	2459	0.45999999999999996	0.0001	103.66218908230464
610000	591.0	591.0	2494	0.45099999999999996	0.0001	105.57750687996547
620000	618.5	622.0	2527	0.44199999999999995	0.0001	107.4565434773763
630000	658.5	658.5	2559	0.43299999999999994	0.0001	109.38347127040227
640000	697.5	703.0	2589	0.42399999999999993	0.0001	111.28735927740733
650000	693.5	714.0	2620	0.4149999999999999	0.0001	113.13384679555892
660000	691.5	718.5	2655	0.4059999999999999	0.0001	115.03582661151886
670000	709.0	723.5	2685	0.3969999999999999	0.0001	116.87994021574656
680000	719.0	723.5	2714	0.3879999999999999	0.0001	118.81027709245681
690000	736.5	738.5	2745	0.379	0.0001	120.66480612754822
700000	741.0	760.0	2775	0.37	0.0001	122.51691368818283
710000	717.0	760.0	2808	0.361	0.0001	124.44885783990225
720000	726.0	760.0	2836	0.352	0.0001	126.43299626906713
730000	747.0	760.0	2864	0.34299999999999997	0.0001	128.38525564670562
740000	758.0	764.0	2896	0.33399999999999996	0.0001	130.2472604751587
750000	808.5	808.5	2925	0.32499999999999996	0.0001	132.16634021600086
760000	768.0	820.5	2958	0.31599999999999995	0.0001	134.03542058467866
770000	794.0	820.5	2987	0.30699999999999994	0.0001	135.94513267676035
780000	792.5	820.5	3016	0.29799999999999993	0.0001	137.90801442066828
790000	846.0	853.5	3042	0.2889999999999999	0.0001	139.80435002644856
800000	935.5	937.0	3067	0.2799999999999999	0.0001	141.65421838760375
810000	953.5	971.5	3095	0.2709999999999999	0.0001	143.47598372300465
820000	985.0	991.0	3121	0.262	0.0001	145.4399297952652
830000	988.5	1014.0	3148	0.253	0.0001	147.4245873093605
840000	969.0	1014.0	3174	0.244	0.0001	149.35120842456817
850000	970.0	1014.0	3201	0.235	0.0001	151.31179214715957
860000	1023.0	1027.5	3222	0.22599999999999998	0.0001	153.25558842023213
870000	1040.0	1040.0	3247	0.21699999999999997	0.0001	155.18171484073002
880000	1102.5	1102.5	3267	0.20799999999999996	0.0001	157.1556433081627
890000	1132.0	1132.0	3293	0.19899999999999995	0.0001	158.98480055332183
900000	1112.0	1140.0	3316	0.18999999999999995	0.0001	160.86828678448995
910000	1125.0	1140.0	3340	0.18099999999999994	0.0001	162.83799433310827
920000	1141.5	1141.5	3359	0.17199999999999993	0.0001	164.7997109770775
930000	1169.5	1172.0	3379	0.16299999999999992	0.0001	166.77452611923218
940000	1224.5	1229.0	3402	0.15400000000000003	0.0001	168.72388733228047
950000	1250.5	1262.0	3422	0.14500000000000002	0.0001	170.6608867287636
960000	1296.5	1304.0	3444	0.136	0.0001	172.61007550557454
970000	1246.5	1304.0	3466	0.127	0.0001	174.58677275975546
980000	1249.5	1304.0	3486	0.118	0.0001	176.56273699204127
990000	1272.0	1304.0	3507	0.10899999999999999	0.0001	178.51361300150555
