TimeStep	MeanReturn	BestMeanReturn	Episodes	Exploration	LearningRate	Time
60000	243.0	254.5	245	0.946	0.0001	2.40036917924881
70000	238.0	254.5	288	0.9369999999999999	0.0001	3.297648549079895
80000	230.0	254.5	331	0.9279999999999999	0.0001	4.176420950889588
90000	237.5	254.5	373	0.919	0.0001	5.065508898099264
100000	253.5	254.5	413	0.91	0.0001	6.013922603925069
110000	240.0	268.0	458	0.901	0.0001	6.717212029298147
120000	235.0	268.0	498	0.892	0.0001	7.390485636393229
130000	248.0	268.0	536	0.883	0.0001	8.067241005102794
140000	255.5	268.0	579	0.874	0.0001	8.732640409469605
150000	232.0	268.0	622	0.865	0.0001	9.394956568876902
160000	240.5	268.0	663	0.856	0.0001	10.041914367675782
170000	246.5	268.0	704	0.847	0.0001	10.691603827476502
180000	239.5	268.0	747	0.838	0.0001	11.354002650578817
190000	240.5	268.0	787	0.829	0.0001	12.003131194909413
200000	243.0	268.0	831	0.82	0.0001	12.655840555826822
210000	246.0	268.0	872	0.8109999999999999	0.0001	13.30781634648641
220000	241.0	268.0	915	0.802	0.0001	13.964965470631917
230000	248.0	268.0	958	0.7929999999999999	0.0001	14.638455100854237
240000	267.0	268.0	1001	0.784	0.0001	15.3260848681132
250000	256.0	275.0	1045	0.775	0.0001	15.991435158252717
260000	266.5	275.0	1088	0.766	0.0001	16.653621125221253
270000	264.5	275.0	1131	0.757	0.0001	17.312848472595213
280000	259.0	275.0	1175	0.748	0.0001	17.971990517775218
290000	278.5	278.5	1218	0.739	0.0001	18.634541650613148
300000	281.5	288.0	1262	0.73	0.0001	19.303042018413542
310000	290.0	292.0	1305	0.721	0.0001	19.990906318028767
320000	292.5	296.5	1348	0.712	0.0001	20.671113220850625
330000	299.0	308.0	1392	0.703	0.0001	21.3555597225825
340000	307.0	308.0	1434	0.694	0.0001	22.03955578804016
350000	328.0	328.5	1476	0.685	0.0001	22.706960678100586
360000	353.0	355.5	1515	0.6759999999999999	0.0001	23.37676686445872
370000	351.0	358.0	1557	0.667	0.0001	24.04489047527313
380000	359.0	364.0	1598	0.6579999999999999	0.0001	24.723863180478414
390000	363.0	370.5	1640	0.649	0.0001	25.410103205839793
400000	340.5	372.5	1684	0.6399999999999999	0.0001	26.102624968687692
410000	341.5	372.5	1724	0.631	0.0001	26.802179221312205
420000	343.5	372.5	1766	0.622	0.0001	27.512790052096047
430000	355.5	375.0	1807	0.613	0.0001	28.21171041727066
440000	379.0	385.5	1850	0.604	0.0001	28.908323136965432
450000	382.0	390.5	1890	0.595	0.0001	29.614691392580667
460000	396.0	408.0	1930	0.586	0.0001	30.318277418613434
470000	400.5	410.0	1972	0.577	0.0001	31.013895626862844
480000	412.0	412.0	2014	0.5680000000000001	0.0001	31.729075574874877
490000	397.0	414.5	2056	0.5589999999999999	0.0001	32.431849543253584
500000	439.0	439.0	2095	0.55	0.0001	33.11755891640981
510000	474.0	474.0	2134	0.5409999999999999	0.0001	33.79920709530513
520000	478.5	495.5	2172	0.532	0.0001	34.48425296147664
530000	509.5	511.0	2208	0.5229999999999999	0.0001	35.16971091429392
540000	505.0	513.5	2247	0.514	0.0001	35.855285890897115
550000	543.5	552.5	2281	0.5049999999999999	0.0001	36.54000843763352
560000	529.0	552.5	2319	0.4959999999999999	0.0001	37.23093003034592
570000	498.5	552.5	2360	0.487	0.0001	37.93858160575231
580000	497.5	552.5	2397	0.478	0.0001	38.64650745391846
590000	502.0	552.5	2435	0.469	0.0001	39.35690472523371
600000	547.0	553.5	2470	0.45999999999999996	0.0001	40.06977601051331
610000	547.0	556.5	2507	0.45099999999999996	0.0001	40.76178727944692
620000	603.0	603.0	2543	0.44199999999999995	0.0001	41.45500725507736
630000	606.0	623.5	2577	0.43299999999999994	0.0001	42.14738863309224
640000	628.5	628.5	2613	0.42399999999999993	0.0001	42.8410636027654
650000	593.5	629.5	2650	0.4149999999999999	0.0001	43.53483540217082
660000	624.0	629.5	2683	0.4059999999999999	0.0001	44.230565126736956
670000	653.5	656.5	2716	0.3969999999999999	0.0001	44.92411597569784
680000	704.0	704.0	2747	0.3879999999999999	0.0001	45.61900699536006
690000	689.5	704.0	2781	0.379	0.0001	46.33404295841853
700000	680.0	715.5	2814	0.37	0.0001	47.05144285758336
710000	698.5	715.5	2843	0.361	0.0001	47.79045410553614
720000	755.5	760.0	2874	0.352	0.0001	48.513889002799985
730000	775.0	790.0	2905	0.34299999999999997	0.0001	49.21346645752589
740000	823.5	823.5	2933	0.33399999999999996	0.0001	49.91699895858765
750000	787.0	823.5	2963	0.32499999999999996	0.0001	50.63247964382172
760000	809.5	823.5	2991	0.31599999999999995	0.0001	51.33779449860255
770000	822.5	841.0	3022	0.30699999999999994	0.0001	52.05955216884613
780000	803.5	841.0	3050	0.29799999999999993	0.0001	52.77640268802643
790000	855.0	867.5	3075	0.2889999999999999	0.0001	53.49960122903188
800000	862.5	874.5	3103	0.2799999999999999	0.0001	54.221387076377866
810000	918.5	921.0	3127	0.2709999999999999	0.0001	54.94216014544169
820000	967.5	972.0	3150	0.262	0.0001	55.66409659385681
830000	1023.5	1034.0	3169	0.253	0.0001	56.39422602653504
840000	1094.5	1097.0	3192	0.244	0.0001	57.10618042151133
850000	1124.0	1143.0	3214	0.235	0.0001	57.81058366298676
860000	1164.5	1172.0	3236	0.22599999999999998	0.0001	58.51567209561666
870000	1161.0	1183.5	3258	0.21699999999999997	0.0001	59.22417190472285
880000	1119.5	1183.5	3280	0.20799999999999996	0.0001	59.93142173290253
890000	1166.5	1183.5	3300	0.19899999999999995	0.0001	60.63887406984965
900000	1199.0	1199.0	3320	0.18999999999999995	0.0001	61.34661288658778
910000	1251.0	1251.0	3340	0.18099999999999994	0.0001	62.057218209902445
920000	1249.0	1259.5	3361	0.17199999999999993	0.0001	62.76781888405482
930000	1249.0	1259.5	3384	0.16299999999999992	0.0001	63.494348124663034
940000	1295.0	1295.0	3401	0.15400000000000003	0.0001	64.22790625492732
950000	1291.0	1325.5	3421	0.14500000000000002	0.0001	64.94139517943064
960000	1333.0	1343.5	3439	0.136	0.0001	65.65459376970927
970000	1398.0	1398.5	3456	0.127	0.0001	66.36826490163803
980000	1443.0	1452.0	3477	0.118	0.0001	67.0820446451505
990000	1410.5	1452.0	3499	0.10899999999999999	0.0001	67.79974596500396
1000000	1466.0	1467.0	3515	0.1	0.0001	68.51572032372157
1010000	1511.5	1522.5	3531	0.09996250000000001	0.0001	69.24130968252818
1020000	1489.5	1522.5	3550	0.099925	0.0001	69.96477785905202
1030000	1523.0	1523.0	3568	0.0998875	0.0001	70.68640148242315
1040000	1552.5	1552.5	3587	0.09985000000000001	0.0001	71.4144927183787
1050000	1520.0	1580.0	3609	0.09981250000000001	0.0001	72.16672906080882
1060000	1541.0	1580.0	3625	0.099775	0.0001	72.903575416406
1070000	1497.0	1580.0	3646	0.0997375	0.0001	73.67327911059061
1080000	1516.5	1580.0	3662	0.09970000000000001	0.0001	74.42903395493825
1090000	1554.5	1580.0	3679	0.0996625	0.0001	75.15497997204463
1100000	1563.5	1580.0	3697	0.099625	0.0001	75.88884525299072
1110000	1630.5	1632.5	3710	0.09958750000000001	0.0001	76.6128643075625
1120000	1658.0	1692.5	3726	0.09955	0.0001	77.32536581754684
1130000	1719.0	1719.0	3741	0.0995125	0.0001	78.03685839970906
1140000	1714.0	1736.0	3758	0.09947500000000001	0.0001	78.74743979771932
1150000	1742.5	1761.0	3774	0.09943750000000001	0.0001	79.457934208711
1160000	1800.0	1804.0	3789	0.0994	0.0001	80.16849517424902
1170000	1768.0	1827.5	3807	0.0993625	0.0001	80.87970057725906
1180000	1700.5	1827.5	3825	0.09932500000000001	0.0001	81.60783503850301
1190000	1708.0	1827.5	3841	0.0992875	0.0001	82.33877709706624
1200000	1649.0	1827.5	3861	0.09925	0.0001	83.06679659287134
1210000	1643.0	1827.5	3878	0.09921250000000001	0.0001	83.79909056425095
1220000	1643.0	1827.5	3894	0.099175	0.0001	84.53224781751632
1230000	1668.0	1827.5	3910	0.0991375	0.0001	85.25799992084504
1240000	1677.0	1827.5	3928	0.09910000000000001	0.0001	85.98036235570908
1250000	1670.0	1827.5	3945	0.09906250000000001	0.0001	86.70605918169022
1260000	1718.5	1827.5	3960	0.099025	0.0001	87.42875656286876
1270000	1732.5	1827.5	3975	0.0989875	0.0001	88.16986134449641
1280000	1723.0	1827.5	3993	0.09895000000000001	0.0001	88.93002213637034
1290000	1747.5	1827.5	4008	0.0989125	0.0001	89.6635207772255
1300000	1790.0	1827.5	4023	0.098875	0.0001	90.36679880221685
1310000	1840.0	1856.0	4037	0.09883750000000001	0.0001	91.0728726585706
1320000	1789.5	1856.0	4055	0.0988	0.0001	91.79784733454386
1330000	1821.0	1856.0	4071	0.0987625	0.0001	92.56308093070984
1340000	1834.0	1856.0	4087	0.09872500000000001	0.0001	93.31408241589864
1350000	1831.5	1856.0	4103	0.09868750000000001	0.0001	94.06829031308492
1360000	1791.5	1856.0	4119	0.09865	0.0001	94.80571081240971
1370000	1753.0	1856.0	4134	0.0986125	0.0001	95.51351790428161
1380000	1798.5	1856.0	4149	0.09857500000000001	0.0001	96.21174284617106
1390000	1823.0	1856.0	4164	0.0985375	0.0001	96.91255656878154
1400000	1820.0	1856.0	4180	0.0985	0.0001	97.6118245959282
1410000	1824.5	1856.0	4195	0.09846250000000001	0.0001	98.31027198235194
1420000	1899.5	1899.5	4209	0.098425	0.0001	99.041432817777
1430000	1921.5	1928.5	4221	0.0983875	0.0001	99.79612701336542
1440000	1944.0	1944.0	4236	0.09835	0.0001	100.54140144586563
1450000	1931.0	1944.0	4251	0.09831250000000001	0.0001	101.27689342498779
1460000	1943.0	1944.0	4264	0.098275	0.0001	101.99024541775385
1470000	1988.0	2002.5	4279	0.0982375	0.0001	102.70279280344646
1480000	1920.0	2002.5	4297	0.09820000000000001	0.0001	103.42474842866262
1490000	1933.5	2002.5	4309	0.0981625	0.0001	104.1371073881785
1500000	1890.0	2002.5	4324	0.098125	0.0001	104.84039248228073
1510000	1939.0	2002.5	4336	0.09808750000000001	0.0001	105.55252652565638
1520000	1987.0	2002.5	4349	0.09805	0.0001	106.25955601533254
1530000	2014.0	2029.0	4362	0.0980125	0.0001	106.96533480882644
1540000	1991.0	2029.0	4377	0.097975	0.0001	107.68166062434514
1550000	2050.0	2050.0	4390	0.09793750000000001	0.0001	108.3801795522372
1560000	2107.5	2116.0	4402	0.0979	0.0001	109.0704252243042
1570000	2138.0	2138.0	4413	0.0978625	0.0001	109.76482240756353
1580000	2176.0	2178.0	4425	0.09782500000000001	0.0001	110.45686588287353
1590000	2188.0	2203.5	4437	0.0977875	0.0001	111.14289920330047
1600000	2163.5	2203.5	4451	0.09775	0.0001	111.82767064571381
1610000	2147.0	2203.5	4465	0.09771250000000001	0.0001	112.51428094704946
1620000	2199.0	2203.5	4477	0.09767500000000001	0.0001	113.19646857579549
1630000	2232.0	2242.0	4489	0.0976375	0.0001	113.87900430758795
1640000	2238.0	2242.0	4502	0.0976	0.0001	114.56336623430252
1650000	2225.5	2242.0	4514	0.09756250000000001	0.0001	115.24413100083669
1660000	2265.5	2265.5	4525	0.097525	0.0001	115.9254888176918
1670000	2243.5	2265.5	4537	0.0974875	0.0001	116.60507995684942
1680000	2208.5	2265.5	4552	0.09745000000000001	0.0001	117.28685991366704
1690000	2244.5	2265.5	4564	0.0974125	0.0001	117.98373456001282
1700000	2252.5	2265.5	4575	0.097375	0.0001	118.68186361789704
1710000	2219.5	2265.5	4587	0.09733750000000001	0.0001	119.3872904419899
1720000	2221.5	2265.5	4599	0.09730000000000001	0.0001	120.07906260093053
1730000	2247.5	2265.5	4610	0.0972625	0.0001	120.77733084758123
1740000	2222.0	2265.5	4622	0.097225	0.0001	121.5021665294965
1750000	2221.5	2265.5	4634	0.09718750000000001	0.0001	122.23156026204427
1760000	2265.5	2281.5	4646	0.09715	0.0001	122.97239840428034
1770000	2253.0	2281.5	4659	0.0971125	0.0001	123.70010511477788
1780000	2263.0	2281.5	4671	0.09707500000000001	0.0001	124.4276794910431
1790000	2275.5	2281.5	4682	0.0970375	0.0001	125.1520327647527
1800000	2244.0	2291.5	4694	0.097	0.0001	125.84680178165436
1810000	2260.0	2291.5	4707	0.09696250000000001	0.0001	126.54383792082469
1820000	2242.0	2291.5	4719	0.09692500000000001	0.0001	127.24322839180628
1830000	2158.5	2291.5	4735	0.0968875	0.0001	127.94944695631663
1840000	2202.5	2291.5	4745	0.09685	0.0001	128.65719439586005
1850000	2215.5	2291.5	4758	0.09681250000000001	0.0001	129.3700918118159
1860000	2173.5	2291.5	4772	0.096775	0.0001	130.0955109556516
1870000	2179.5	2291.5	4783	0.0967375	0.0001	130.8249148408572
1880000	2138.5	2291.5	4798	0.09670000000000001	0.0001	131.5091793934504
1890000	2172.5	2291.5	4809	0.0966625	0.0001	132.18667535384495
1900000	2140.5	2291.5	4823	0.096625	0.0001	132.87731286684672
1910000	2216.5	2291.5	4835	0.0965875	0.0001	133.56961504618326
