TimeStep	MeanReturn	BestMeanReturn	Episodes	Exploration	LearningRate	Time
60000	24.571428571428573	24.571428571428573	28	0.946	0.0001	3.289390273888906
70000	24.0	24.0	33	0.9369999999999999	0.0001	4.296821924050649
80000	24.45945945945946	24.45945945945946	37	0.9279999999999999	0.0001	5.318036679426829
90000	24.547619047619047	24.547619047619047	42	0.919	0.0001	6.273957268397013
100000	24.425531914893618	24.425531914893618	47	0.91	0.0001	7.271562413374583
110000	24.03846153846154	24.03846153846154	52	0.901	0.0001	8.29068826039632
120000	24.089285714285715	24.089285714285715	56	0.892	0.0001	9.309653802712758
130000	23.9672131147541	23.9672131147541	61	0.883	0.0001	10.307952809333802
140000	24.257575757575758	24.257575757575758	66	0.874	0.0001	11.435727473100027
150000	24.267605633802816	24.267605633802816	71	0.865	0.0001	12.45368070602417
160000	24.133333333333333	24.133333333333333	75	0.856	0.0001	13.459153719743092
170000	24.1625	24.1625	80	0.847	0.0001	14.502824207146963
180000	24.0	24.0	85	0.838	0.0001	15.562783694267273
190000	24.011111111111113	24.011111111111113	90	0.829	0.0001	16.5959166208903
200000	23.96808510638298	23.96808510638298	94	0.82	0.0001	17.66405422290166
210000	23.8989898989899	23.8989898989899	99	0.8109999999999999	0.0001	18.725038103262584
220000	24.13	24.14	104	0.802	0.0001	19.77835346062978
230000	23.65	24.14	109	0.7929999999999999	0.0001	20.83614823023478
240000	23.3	24.14	113	0.784	0.0001	21.93053432703018
250000	23.32	24.14	118	0.775	0.0001	22.963385581970215
260000	23.11	24.14	123	0.766	0.0001	24.062873574097953
270000	23.27	24.14	127	0.757	0.0001	25.227965458234152
280000	23.36	24.14	132	0.748	0.0001	26.279268153508504
290000	23.12	24.14	137	0.739	0.0001	27.35221302509308
300000	23.04	24.14	142	0.73	0.0001	28.43150899410248
310000	22.91	24.14	146	0.721	0.0001	29.504432169596353
320000	23.15	24.14	151	0.712	0.0001	30.556159555912018
330000	23.35	24.14	156	0.703	0.0001	31.630061864852905
340000	23.31	24.14	161	0.694	0.0001	32.68946185509364
350000	23.37	24.14	165	0.685	0.0001	33.78390603462855
360000	23.09	24.14	170	0.6759999999999999	0.0001	34.85318409999211
370000	23.16	24.14	175	0.667	0.0001	35.913575347264604
380000	22.91	24.14	180	0.6579999999999999	0.0001	36.99499709208806
390000	22.98	24.14	184	0.649	0.0001	38.073510837554934
400000	23.16	24.14	189	0.6399999999999999	0.0001	39.174890200297035
410000	23.48	24.14	194	0.631	0.0001	40.25778900384903
420000	23.46	24.14	198	0.622	0.0001	41.34771604935328
430000	23.6	24.14	203	0.613	0.0001	42.452014191945395
440000	23.89	24.14	208	0.604	0.0001	43.55739104747772
450000	24.24	24.24	213	0.595	0.0001	44.66436224778493
460000	24.49	24.49	217	0.586	0.0001	45.83810195128123
470000	24.51	24.51	222	0.577	0.0001	46.9372140288353
480000	24.53	24.54	227	0.5680000000000001	0.0001	48.034538785616554
490000	24.66	24.76	232	0.5589999999999999	0.0001	49.14438010851542
500000	24.94	24.94	236	0.55	0.0001	50.24476042985916
510000	25.13	25.15	241	0.5409999999999999	0.0001	51.36337671677271
520000	25.11	25.15	246	0.532	0.0001	52.429138060410814
530000	25.26	25.26	251	0.5229999999999999	0.0001	53.53881641228994
540000	25.15	25.26	255	0.514	0.0001	54.644414095083874
550000	25.26	25.28	260	0.5049999999999999	0.0001	55.7419079264005
560000	25.27	25.4	265	0.4959999999999999	0.0001	56.84506963888804
570000	25.41	25.41	269	0.487	0.0001	57.94301441113154
580000	25.76	25.76	274	0.478	0.0001	59.08197057247162
590000	25.73	25.81	279	0.469	0.0001	60.18974464337031
600000	25.91	25.91	283	0.45999999999999996	0.0001	61.33621025085449
610000	25.83	25.97	288	0.45099999999999996	0.0001	62.4744856317838
620000	25.6	25.97	293	0.44199999999999995	0.0001	63.59993729988734
630000	25.59	25.97	297	0.43299999999999994	0.0001	64.72450696229934
640000	25.05	25.97	302	0.42399999999999993	0.0001	65.88273391326268
650000	25.15	25.97	307	0.4149999999999999	0.0001	67.03093637228012
660000	25.09	25.97	311	0.4059999999999999	0.0001	68.21062078078587
670000	24.61	25.97	316	0.3969999999999999	0.0001	69.36471496423086
680000	24.65	25.97	321	0.3879999999999999	0.0001	70.52761430740357
690000	24.48	25.97	326	0.379	0.0001	71.65875048240027
700000	24.35	25.97	330	0.37	0.0001	72.80324113368988
710000	24.03	25.97	335	0.361	0.0001	73.97967962423961
720000	23.93	25.97	340	0.352	0.0001	75.12031600475311
730000	23.96	25.97	344	0.34299999999999997	0.0001	76.36311876773834
740000	23.42	25.97	349	0.33399999999999996	0.0001	77.51909252007802
750000	23.08	25.97	354	0.32499999999999996	0.0001	78.68441447019578
760000	23.48	25.97	359	0.31599999999999995	0.0001	79.82423550287882
770000	23.15	25.97	363	0.30699999999999994	0.0001	80.98553230365117
780000	23.16	25.97	368	0.29799999999999993	0.0001	82.15603695313136
790000	22.88	25.97	373	0.2889999999999999	0.0001	83.3079518755277
800000	22.91	25.97	377	0.2799999999999999	0.0001	84.48491291999817
810000	22.93	25.97	382	0.2709999999999999	0.0001	85.68005878925324
820000	22.87	25.97	387	0.262	0.0001	86.85171727736791
830000	22.8	25.97	391	0.253	0.0001	88.02299619913101
840000	22.8	25.97	396	0.244	0.0001	89.20253833929698
850000	23.06	25.97	401	0.235	0.0001	90.38663831949233
860000	23.09	25.97	405	0.22599999999999998	0.0001	91.57306168476741
870000	22.96	25.97	410	0.21699999999999997	0.0001	92.71700537999472
880000	23.34	25.97	415	0.20799999999999996	0.0001	93.9261590441068
890000	23.1	25.97	420	0.19899999999999995	0.0001	95.20489919980368
900000	23.48	25.97	424	0.18999999999999995	0.0001	96.4407194852829
910000	23.86	25.97	429	0.18099999999999994	0.0001	97.73423859675725
920000	24.22	25.97	434	0.17199999999999993	0.0001	98.95201371908188
930000	24.15	25.97	439	0.16299999999999992	0.0001	100.14699213107427
940000	24.22	25.97	443	0.15400000000000003	0.0001	101.31209077437718
950000	24.19	25.97	448	0.14500000000000002	0.0001	102.47568014065425
960000	24.34	25.97	453	0.136	0.0001	103.65358217159907
970000	24.01	25.97	457	0.127	0.0001	104.83656100432079
980000	24.17	25.97	462	0.118	0.0001	106.01006859938303
