TimeStep	MeanReturn	BestMeanReturn	Episodes	Exploration	LearningRate	Time
60000	24.571428571428573	24.571428571428573	28	0.946	0.0001	3.443944716453552
70000	24.333333333333332	24.333333333333332	33	0.9369999999999999	0.0001	4.357632899284363
80000	24.054054054054053	24.054054054054053	37	0.9279999999999999	0.0001	5.284468507766723
90000	24.047619047619047	24.047619047619047	42	0.919	0.0001	6.213941013813018
100000	23.872340425531913	23.872340425531913	47	0.91	0.0001	7.135282556215922
110000	24.0	24.0	52	0.901	0.0001	8.068216530481974
120000	23.696428571428573	23.696428571428573	56	0.892	0.0001	8.986612530549367
130000	23.918032786885245	23.918032786885245	61	0.883	0.0001	9.911839830875397
140000	23.803030303030305	23.803030303030305	66	0.874	0.0001	10.938852139314015
150000	23.91549295774648	23.91549295774648	71	0.865	0.0001	11.877098445097605
160000	23.85333333333333	23.85333333333333	75	0.856	0.0001	12.802244198322295
170000	24.0125	24.0125	80	0.847	0.0001	13.743570792675019
180000	24.023529411764706	24.023529411764706	85	0.838	0.0001	14.640673478444418
190000	24.211111111111112	24.211111111111112	90	0.829	0.0001	15.569366391499837
200000	24.0531914893617	24.0531914893617	94	0.82	0.0001	16.52354616324107
210000	23.96969696969697	23.96969696969697	99	0.8109999999999999	0.0001	17.47697917620341
220000	24.38	24.41	104	0.802	0.0001	18.430652085940043
230000	24.45	24.54	108	0.7929999999999999	0.0001	19.377537524700166
240000	24.19	24.54	113	0.784	0.0001	20.30492707888285
250000	24.14	24.54	118	0.775	0.0001	21.241960259278617
260000	23.95	24.54	123	0.766	0.0001	22.182600470383964
270000	23.9	24.54	127	0.757	0.0001	23.20993570884069
280000	24.12	24.54	132	0.748	0.0001	24.17262718677521
290000	24.25	24.54	137	0.739	0.0001	25.09468357960383
300000	24.22	24.54	142	0.73	0.0001	26.032118860880534
310000	24.49	24.54	146	0.721	0.0001	26.987490967909494
320000	24.32	24.58	151	0.712	0.0001	27.956841504573823
330000	24.61	24.75	156	0.703	0.0001	28.929687436421712
340000	24.34	24.75	161	0.694	0.0001	29.880430889129638
350000	24.5	24.75	165	0.685	0.0001	30.854083128770192
360000	24.38	24.75	170	0.6759999999999999	0.0001	31.823384062449136
370000	24.31	24.75	175	0.667	0.0001	32.78604677915573
380000	24.04	24.75	180	0.6579999999999999	0.0001	33.7564543445905
390000	24.12	24.75	184	0.649	0.0001	34.72319686015447
400000	24.27	24.75	189	0.6399999999999999	0.0001	35.68217480182648
410000	24.65	24.75	194	0.631	0.0001	36.67143208583196
420000	24.56	24.75	198	0.622	0.0001	37.63997525374095
430000	24.73	24.82	203	0.613	0.0001	38.58835562070211
440000	24.66	24.82	208	0.604	0.0001	39.580727422237395
450000	24.77	24.82	213	0.595	0.0001	40.54932512044907
460000	25.03	25.04	217	0.586	0.0001	41.60844302574794
470000	25.23	25.23	222	0.577	0.0001	42.60938667456309
480000	25.33	25.33	227	0.5680000000000001	0.0001	43.61117996374766
490000	25.11	25.33	232	0.5589999999999999	0.0001	44.587791391213734
