TimeStep	MeanReturn	BestMeanReturn	Episodes	Exploration	LearningRate	Time
60000	456.060606061	456.060606061	66	0.946	0.0001	2.862309467792511
70000	450.0	450.0	78	0.9369999999999999	0.0001	3.596522541840871
80000	444.943820225	444.943820225	89	0.9279999999999999	0.0001	4.31800305445989
90000	441.0	441.0	100	0.919	0.0001	5.037556850910187
100000	435.0	453.0	111	0.91	0.0001	5.776552720864614
110000	435.0	453.0	121	0.901	0.0001	6.579895257949829
120000	406.0	453.0	132	0.892	0.0001	7.400841148694356
130000	428.0	453.0	142	0.883	0.0001	8.185105351607005
140000	438.0	453.0	154	0.874	0.0001	9.000771594047546
150000	454.0	454.0	165	0.865	0.0001	9.814700758457183
160000	481.0	491.0	175	0.856	0.0001	10.628890339533488
170000	500.0	517.0	185	0.847	0.0001	11.445679974555969
180000	525.0	527.0	196	0.838	0.0001	12.264041157563527
190000	530.0	534.0	207	0.829	0.0001	13.084372476736705
200000	559.0	559.0	217	0.82	0.0001	13.95658587217331
210000	588.0	589.0	228	0.8109999999999999	0.0001	14.701475059986114
220000	610.0	610.0	239	0.802	0.0001	15.436682005723318
230000	653.0	653.0	249	0.7929999999999999	0.0001	16.172173897425335
240000	702.0	702.0	259	0.784	0.0001	16.913024516900382
250000	732.0	736.0	270	0.775	0.0001	17.650942329565684
260000	755.0	757.0	279	0.766	0.0001	18.39168224334717
270000	767.0	770.0	290	0.757	0.0001	19.136582255363464
280000	820.0	820.0	300	0.748	0.0001	19.878763894240063
290000	834.0	856.0	311	0.739	0.0001	20.622594134012857
300000	833.0	861.0	322	0.73	0.0001	21.36926941871643
310000	928.0	928.0	330	0.721	0.0001	22.115029080708823
320000	963.0	971.0	340	0.712	0.0001	22.86211776336034
330000	997.0	997.0	350	0.703	0.0001	23.660947716236116
340000	1056.0	1056.0	360	0.694	0.0001	24.41191917657852
350000	1099.0	1099.0	370	0.685	0.0001	25.164611760775248
360000	1098.0	1106.0	379	0.6759999999999999	0.0001	25.915879905223846
370000	1198.0	1198.0	388	0.667	0.0001	26.669747912883757
380000	1264.0	1264.0	398	0.6579999999999999	0.0001	27.42436415751775
390000	1320.0	1320.0	408	0.649	0.0001	28.17918573220571
400000	1382.0	1382.0	418	0.6399999999999999	0.0001	28.936433823903403
410000	1400.0	1422.0	428	0.631	0.0001	29.69501498142878
420000	1440.0	1440.0	437	0.622	0.0001	30.452140188217165
430000	1504.0	1504.0	446	0.613	0.0001	31.211293347676595
440000	1526.0	1532.0	454	0.604	0.0001	31.97008841832479
450000	1554.0	1564.0	463	0.595	0.0001	32.73141175508499
460000	1650.0	1650.0	472	0.586	0.0001	33.49453027248383
470000	1679.0	1679.0	481	0.577	0.0001	34.2563534339269
480000	1683.0	1689.0	490	0.5680000000000001	0.0001	35.017483695348105
490000	1710.0	1710.0	499	0.5589999999999999	0.0001	35.83334208726883
500000	1696.0	1710.0	509	0.55	0.0001	36.69005403121312
510000	1673.0	1710.0	520	0.5409999999999999	0.0001	37.53703233003616
520000	1701.0	1710.0	529	0.532	0.0001	38.307712479432425
530000	1708.0	1718.0	538	0.5229999999999999	0.0001	39.076904948552446
540000	1747.0	1754.0	545	0.514	0.0001	39.8464765270551
550000	1756.0	1759.0	554	0.5049999999999999	0.0001	40.61817740996678
560000	1794.0	1798.0	562	0.4959999999999999	0.0001	41.3875634153684
570000	1818.0	1818.0	570	0.487	0.0001	42.160306350390115
580000	1906.0	1906.0	579	0.478	0.0001	42.99582624435425
590000	1969.0	1980.0	587	0.469	0.0001	43.86448513269424
600000	2026.0	2040.0	595	0.45999999999999996	0.0001	44.730910861492156
610000	2074.0	2074.0	604	0.45099999999999996	0.0001	45.602524820963545
620000	2165.0	2167.0	613	0.44199999999999995	0.0001	46.47364364862442
630000	2247.0	2247.0	621	0.43299999999999994	0.0001	47.34579682747523
640000	2337.0	2337.0	629	0.42399999999999993	0.0001	48.22077845732371
650000	2465.0	2468.0	637	0.4149999999999999	0.0001	49.09747458299001
660000	2498.0	2498.0	644	0.4059999999999999	0.0001	49.97216917673747
670000	2539.0	2570.0	652	0.3969999999999999	0.0001	50.84706147909164
680000	2614.0	2614.0	660	0.3879999999999999	0.0001	51.72724825541179
690000	2681.0	2683.0	668	0.379	0.0001	52.60626059770584
700000	2687.0	2687.0	676	0.37	0.0001	53.48469138145447
710000	2662.0	2719.0	684	0.361	0.0001	54.368089024225874
720000	2695.0	2719.0	691	0.352	0.0001	55.24939489761989
730000	2767.0	2767.0	698	0.34299999999999997	0.0001	56.133292349179584
740000	2971.0	2971.0	704	0.33399999999999996	0.0001	57.01866486867269
750000	3080.0	3080.0	712	0.32499999999999996	0.0001	57.90809943675995
760000	3223.0	3223.0	718	0.31599999999999995	0.0001	58.79617066383362
770000	3212.0	3234.0	726	0.30699999999999994	0.0001	59.68511421680451
780000	3258.0	3276.0	732	0.29799999999999993	0.0001	60.58721120357514
790000	3357.0	3357.0	739	0.2889999999999999	0.0001	61.3813934246699
800000	3544.0	3544.0	747	0.2799999999999999	0.0001	62.175166861216226
810000	3693.0	3693.0	752	0.2709999999999999	0.0001	62.97083308299383
820000	3885.0	3885.0	759	0.262	0.0001	63.768624532222745
830000	3904.0	3904.0	766	0.253	0.0001	64.56719634930293
840000	4020.0	4020.0	773	0.244	0.0001	65.36602743069331
850000	4222.0	4222.0	779	0.235	0.0001	66.16454933484395
860000	4388.0	4388.0	786	0.22599999999999998	0.0001	66.96470423936844
870000	4612.0	4628.0	791	0.21699999999999997	0.0001	67.7654325723648
880000	4919.0	4919.0	797	0.20799999999999996	0.0001	68.56990480820338
