TimeStep	MeanReturn	BestMeanReturn	Episodes	Exploration	LearningRate	Time
60000	442.424242424	442.424242424	66	0.946	0.0001	2.9379315177599588
70000	434.615384615	434.615384615	78	0.9369999999999999	0.0001	3.6393033464749656
80000	437.078651685	437.078651685	89	0.9279999999999999	0.0001	4.340999976793925
90000	448.0	448.0	100	0.919	0.0001	5.041906086603801
100000	454.0	458.0	110	0.91	0.0001	5.803726359208425
110000	438.0	458.0	120	0.901	0.0001	6.599836178620657
120000	414.0	458.0	132	0.892	0.0001	7.35138289531072
130000	430.0	458.0	143	0.883	0.0001	8.14828804731369
140000	473.0	480.0	153	0.874	0.0001	8.964151366551716
150000	479.0	480.0	164	0.865	0.0001	9.783218705654145
160000	517.0	525.0	176	0.856	0.0001	10.584623205661774
170000	523.0	525.0	187	0.847	0.0001	11.38526291847229
180000	525.0	525.0	197	0.838	0.0001	12.18589499394099
190000	544.0	544.0	208	0.829	0.0001	12.989552716414133
200000	593.0	593.0	218	0.82	0.0001	13.818452382087708
210000	656.0	656.0	227	0.8109999999999999	0.0001	14.532946614424388
220000	695.0	696.0	238	0.802	0.0001	15.245560908317566
230000	710.0	733.0	248	0.7929999999999999	0.0001	15.956324330965678
240000	752.0	754.0	258	0.784	0.0001	16.671221276124317
250000	801.0	809.0	268	0.775	0.0001	17.387707507610322
260000	838.0	838.0	278	0.766	0.0001	18.105290150642396
270000	898.0	904.0	288	0.757	0.0001	18.82649323542913
280000	972.0	972.0	298	0.748	0.0001	19.547700266043346
290000	1055.0	1055.0	306	0.739	0.0001	20.266401243209838
300000	1103.0	1104.0	316	0.73	0.0001	20.985373906294505
310000	1135.0	1144.0	325	0.721	0.0001	21.70751535097758
320000	1218.0	1218.0	334	0.712	0.0001	22.42971057097117
330000	1227.0	1236.0	343	0.703	0.0001	23.20193005800247
340000	1243.0	1254.0	353	0.694	0.0001	23.94351199467977
350000	1264.0	1291.0	363	0.685	0.0001	24.673446997006735
360000	1308.0	1308.0	372	0.6759999999999999	0.0001	25.403064342339835
370000	1322.0	1336.0	382	0.667	0.0001	26.133415520191193
380000	1373.0	1378.0	390	0.6579999999999999	0.0001	26.86241926352183
390000	1391.0	1394.0	400	0.649	0.0001	27.59282258351644
400000	1398.0	1398.0	408	0.6399999999999999	0.0001	28.32393961350123
410000	1459.0	1459.0	417	0.631	0.0001	29.05776875416438
420000	1457.0	1469.0	426	0.622	0.0001	29.79056283632914
430000	1468.0	1473.0	437	0.613	0.0001	30.526780287424724
440000	1525.0	1525.0	446	0.604	0.0001	31.264009249210357
450000	1526.0	1539.0	455	0.595	0.0001	32.002697348594666
460000	1609.0	1609.0	463	0.586	0.0001	32.74186536471049
470000	1682.0	1682.0	472	0.577	0.0001	33.47784995237986
480000	1720.0	1720.0	481	0.5680000000000001	0.0001	34.21395657062531
490000	1724.0	1741.0	490	0.5589999999999999	0.0001	34.95218981107076
500000	1785.0	1785.0	499	0.55	0.0001	35.77842226425807
510000	1796.0	1800.0	507	0.5409999999999999	0.0001	36.6139800786972
