TimeStep	MeanReturn	BestMeanReturn	Episodes	Exploration	LearningRate	Time
60000	-20.5	-20.5	66	0.946	0.0001	4.949955666065216
70000	-20.5064935065	-20.5064935065	77	0.9369999999999999	0.0001	6.254572824637095
80000	-20.4252873563	-20.4252873563	87	0.9279999999999999	0.0001	7.565904251734415
90000	-20.3775510204	-20.3775510204	98	0.919	0.0001	8.906838130950927
100000	-20.33	-20.33	108	0.91	0.0001	10.25066381295522
110000	-20.3	-20.29	120	0.901	0.0001	11.605462042490641
120000	-20.3	-20.28	131	0.892	0.0001	12.958791037400564
130000	-20.33	-20.28	142	0.883	0.0001	14.282473556200664
140000	-20.39	-20.28	153	0.874	0.0001	15.597144103050232
150000	-20.3	-20.28	164	0.865	0.0001	16.870741017659505
160000	-20.29	-20.27	175	0.856	0.0001	18.132286504904428
170000	-20.34	-20.27	186	0.847	0.0001	19.398422308762868
180000	-20.4	-20.27	197	0.838	0.0001	20.66563049554825
190000	-20.39	-20.27	208	0.829	0.0001	21.934833006064096
200000	-20.39	-20.27	219	0.82	0.0001	23.309194393952687
210000	-20.38	-20.27	231	0.8109999999999999	0.0001	24.736605183283487
220000	-20.35	-20.27	241	0.802	0.0001	26.161190191904705
230000	-20.33	-20.27	252	0.7929999999999999	0.0001	27.58487092256546
240000	-20.33	-20.27	263	0.784	0.0001	28.969065570831297
250000	-20.33	-20.27	275	0.775	0.0001	30.39660243590673
260000	-20.27	-20.25	284	0.766	0.0001	31.82323799133301
270000	-20.22	-20.21	295	0.757	0.0001	33.25544197559357
280000	-20.25	-20.21	307	0.748	0.0001	34.69353177547455
290000	-20.19	-20.18	317	0.739	0.0001	36.13389972845713
300000	-20.18	-20.16	328	0.73	0.0001	37.57408283948898
310000	-20.19	-20.16	339	0.721	0.0001	39.0157391389211
320000	-20.15	-20.14	349	0.712	0.0001	40.52736430565516
330000	-20.19	-20.14	360	0.703	0.0001	41.99517949422201
340000	-20.22	-20.14	371	0.694	0.0001	43.4674152692159
350000	-20.21	-20.14	382	0.685	0.0001	44.95230443477631
360000	-20.21	-20.14	393	0.6759999999999999	0.0001	46.45541626612346
370000	-20.21	-20.14	404	0.667	0.0001	47.96301083167394
380000	-20.22	-20.14	415	0.6579999999999999	0.0001	49.47253285646438
390000	-20.21	-20.14	426	0.649	0.0001	50.9733945051829
400000	-20.16	-20.14	436	0.6399999999999999	0.0001	52.46265312830607
410000	-20.13	-20.11	446	0.631	0.0001	53.95929097731908
420000	-20.11	-20.11	456	0.622	0.0001	55.45901508728663
430000	-20.1	-20.1	467	0.613	0.0001	56.96133708556493
440000	-20.07	-20.03	477	0.604	0.0001	58.46641191244125
450000	-20.03	-20.03	488	0.595	0.0001	59.974152080218
460000	-20.04	-20.02	497	0.586	0.0001	61.51288844744364
470000	-19.98	-19.97	508	0.577	0.0001	63.00085421005885
480000	-19.87	-19.87	517	0.5680000000000001	0.0001	64.54079492489497
490000	-19.85	-19.82	527	0.5589999999999999	0.0001	65.93183255990347
500000	-19.87	-19.82	537	0.55	0.0001	67.31800396839778
510000	-19.83	-19.82	547	0.5409999999999999	0.0001	68.8236019452413
520000	-19.79	-19.79	556	0.532	0.0001	70.18753203550975
530000	-19.7	-19.7	566	0.5229999999999999	0.0001	71.53768941561381
540000	-19.73	-19.7	576	0.514	0.0001	72.96153740088145
550000	-19.76	-19.7	586	0.5049999999999999	0.0001	74.39236062765121
560000	-19.62	-19.62	596	0.4959999999999999	0.0001	75.80447265307109
570000	-19.65	-19.62	605	0.487	0.0001	77.26400359074275
580000	-19.63	-19.62	613	0.478	0.0001	78.7290533542633
590000	-19.62	-19.58	621	0.469	0.0001	80.20000284512838
600000	-19.47	-19.47	629	0.45999999999999996	0.0001	81.64054043690363
610000	-19.35	-19.35	638	0.45099999999999996	0.0001	83.072700603803
620000	-19.29	-19.29	645	0.44199999999999995	0.0001	84.52445637782415
630000	-19.23	-19.22	653	0.43299999999999994	0.0001	85.96787690321604
640000	-19.19	-19.17	660	0.42399999999999993	0.0001	87.43879373470942
650000	-19.07	-19.07	667	0.4149999999999999	0.0001	88.84816616376241
660000	-18.94	-18.94	673	0.4059999999999999	0.0001	90.23231921593349
670000	-18.85	-18.83	680	0.3969999999999999	0.0001	91.61522483030954
680000	-18.71	-18.71	687	0.3879999999999999	0.0001	93.00607809225718
690000	-18.68	-18.67	693	0.379	0.0001	94.39515594244003
700000	-18.59	-18.59	699	0.37	0.0001	95.78751921653748
710000	-18.5	-18.5	706	0.361	0.0001	97.18441656033198
720000	-18.38	-18.38	711	0.352	0.0001	98.5748905857404
730000	-18.25	-18.25	717	0.34299999999999997	0.0001	99.97060605684916
740000	-18.1	-18.1	723	0.33399999999999996	0.0001	101.3710015018781
750000	-18.0	-18.0	728	0.32499999999999996	0.0001	102.77077885866166
760000	-17.87	-17.87	733	0.31599999999999995	0.0001	104.25639470418294
770000	-17.82	-17.81	739	0.30699999999999994	0.0001	105.64919861157735
780000	-17.72	-17.72	744	0.29799999999999993	0.0001	107.04097063938777
790000	-17.67	-17.67	748	0.2889999999999999	0.0001	108.43884573380153
800000	-17.53	-17.53	753	0.2799999999999999	0.0001	109.83808361689249
810000	-17.35	-17.35	757	0.2709999999999999	0.0001	111.23647347688674
820000	-17.11	-17.11	762	0.262	0.0001	112.65407353639603
830000	-17.12	-17.11	767	0.253	0.0001	114.07979091008504
840000	-17.05	-17.05	772	0.244	0.0001	115.5029816309611
850000	-17.0	-16.99	776	0.235	0.0001	116.93197814623515
860000	-16.91	-16.9	781	0.22599999999999998	0.0001	118.35532373984655
870000	-16.8	-16.79	785	0.21699999999999997	0.0001	119.77949038346608
880000	-16.65	-16.65	790	0.20799999999999996	0.0001	121.19385376373927
890000	-16.49	-16.49	794	0.19899999999999995	0.0001	122.61146000226339
900000	-16.43	-16.43	797	0.18999999999999995	0.0001	124.02869187196096
910000	-16.16	-16.16	801	0.18099999999999994	0.0001	125.44788380066554
920000	-16.06	-16.06	805	0.17199999999999993	0.0001	126.87536978324255
930000	-16.01	-16.01	810	0.16299999999999992	0.0001	128.3163160721461
940000	-15.88	-15.87	813	0.15400000000000003	0.0001	129.75254925092062
950000	-15.78	-15.78	817	0.14500000000000002	0.0001	131.18972402413686
960000	-15.59	-15.59	821	0.136	0.0001	132.6322344104449
970000	-15.67	-15.59	825	0.127	0.0001	134.07472446759542
980000	-15.43	-15.43	829	0.118	0.0001	135.52200224399567
990000	-15.42	-15.4	832	0.10899999999999999	0.0001	136.96804099877676
1000000	-15.15	-15.15	835	0.1	0.0001	138.421206343174
