TimeStep	MeanReturn	BestMeanReturn	Episodes	Exploration	LearningRate	Time
60000	-20.46969696969697	-20.46969696969697	66	0.946	0.0001	1.6408225576082864
70000	-20.428571428571427	-20.428571428571427	77	0.9369999999999999	0.0001	2.1549443006515503
80000	-20.40909090909091	-20.40909090909091	88	0.9279999999999999	0.0001	2.73579789797465
90000	-20.373737373737374	-20.373737373737374	99	0.919	0.0001	3.3376784046490986
100000	-20.35	-20.35	110	0.91	0.0001	3.937888813018799
110000	-20.27	-20.27	120	0.901	0.0001	4.826853855450948
120000	-20.2	-20.2	131	0.892	0.0001	5.876270325978597
130000	-20.23	-20.2	142	0.883	0.0001	6.88734785715739
140000	-20.25	-20.2	153	0.874	0.0001	7.826313237349193
150000	-20.23	-20.2	164	0.865	0.0001	8.696457954247792
160000	-20.2	-20.2	174	0.856	0.0001	9.284682834148407
170000	-20.18	-20.14	186	0.847	0.0001	9.874265098571778
180000	-20.22	-20.14	196	0.838	0.0001	10.466255724430084
190000	-20.24	-20.14	208	0.829	0.0001	11.058743985493978
200000	-20.3	-20.14	219	0.82	0.0001	11.691932559013367
210000	-20.35	-20.14	230	0.8109999999999999	0.0001	12.304812574386597
220000	-20.31	-20.14	241	0.802	0.0001	12.91957745552063
230000	-20.36	-20.14	251	0.7929999999999999	0.0001	13.536458845933279
240000	-20.34	-20.14	262	0.784	0.0001	14.151061713695526
250000	-20.38	-20.14	273	0.775	0.0001	14.765742274125417
260000	-20.37	-20.14	284	0.766	0.0001	15.380815903345743
270000	-20.35	-20.14	294	0.757	0.0001	16.00315326054891
280000	-20.33	-20.14	304	0.748	0.0001	16.612882697582243
290000	-20.31	-20.14	315	0.739	0.0001	17.21544499794642
300000	-20.29	-20.14	326	0.73	0.0001	17.819603602091473
310000	-20.17	-20.14	336	0.721	0.0001	18.439843356609344
320000	-20.12	-20.12	346	0.712	0.0001	19.10875242948532
330000	-20.13	-20.1	358	0.703	0.0001	19.733358641465504
340000	-20.09	-20.09	368	0.694	0.0001	20.358675344785055
350000	-20.13	-20.09	379	0.685	0.0001	20.980161106586458
360000	-20.16	-20.09	390	0.6759999999999999	0.0001	21.605139609177908
370000	-20.16	-20.09	400	0.667	0.0001	22.21403205394745
380000	-20.14	-20.09	411	0.6579999999999999	0.0001	22.824320503075917
390000	-20.03	-20.02	421	0.649	0.0001	23.43506426413854
400000	-20.07	-19.98	431	0.6399999999999999	0.0001	24.04611962636312
410000	-20.04	-19.98	441	0.631	0.0001	24.666412262121835
420000	-20.06	-19.98	450	0.622	0.0001	25.297298653920492
430000	-20.06	-19.98	460	0.613	0.0001	25.929815244674682
440000	-20.08	-19.98	471	0.604	0.0001	26.56445838212967
450000	-20.09	-19.98	481	0.595	0.0001	27.189980630079905
460000	-20.08	-19.98	491	0.586	0.0001	27.80627564986547
470000	-20.07	-19.98	501	0.577	0.0001	28.42262053489685
480000	-20.01	-19.98	511	0.5680000000000001	0.0001	29.040239934126536
490000	-20.13	-19.98	521	0.5589999999999999	0.0001	29.696848678588868
500000	-20.14	-19.98	530	0.55	0.0001	30.31657483180364
510000	-20.19	-19.98	539	0.5409999999999999	0.0001	30.939501651128133
520000	-20.17	-19.98	549	0.532	0.0001	31.5658256649971
530000	-20.17	-19.98	558	0.5229999999999999	0.0001	32.19045294125875
540000	-20.09	-19.98	567	0.514	0.0001	32.817424515883125
550000	-19.96	-19.96	575	0.5049999999999999	0.0001	33.44428371985753
560000	-19.93	-19.91	584	0.4959999999999999	0.0001	34.07529189189275
570000	-19.9	-19.89	593	0.487	0.0001	34.70256391763687
580000	-19.9	-19.88	601	0.478	0.0001	35.33892215092977
590000	-19.8	-19.79	609	0.469	0.0001	35.988497511545816
600000	-19.8	-19.79	617	0.45999999999999996	0.0001	36.63991025686264
610000	-19.75	-19.75	625	0.45099999999999996	0.0001	37.290846232573195
620000	-19.7	-19.69	633	0.44199999999999995	0.0001	37.94637787739436
630000	-19.69	-19.67	640	0.43299999999999994	0.0001	38.602896531422935
640000	-19.6	-19.6	647	0.42399999999999993	0.0001	39.25600967009862
650000	-19.49	-19.49	654	0.4149999999999999	0.0001	39.90059936841329
660000	-19.45	-19.43	660	0.4059999999999999	0.0001	40.53642297188441
670000	-19.38	-19.36	667	0.3969999999999999	0.0001	41.1754678885142
680000	-19.34	-19.34	673	0.3879999999999999	0.0001	41.81519256830215
690000	-19.24	-19.24	679	0.379	0.0001	42.456925535202025
700000	-19.1	-19.1	685	0.37	0.0001	43.111812222003934
710000	-18.97	-18.97	691	0.361	0.0001	43.772196094195046
720000	-18.85	-18.85	697	0.352	0.0001	44.43681920766831
730000	-18.82	-18.82	703	0.34299999999999997	0.0001	45.09950875043869
740000	-18.82	-18.8	709	0.33399999999999996	0.0001	45.76183291276296
750000	-18.69	-18.69	714	0.32499999999999996	0.0001	46.421701816717786
760000	-18.54	-18.54	720	0.31599999999999995	0.0001	47.08785062233607
770000	-18.43	-18.43	726	0.30699999999999994	0.0001	47.75312217871348
780000	-18.39	-18.36	731	0.29799999999999993	0.0001	48.480980173746744
790000	-18.32	-18.32	736	0.2889999999999999	0.0001	49.13048558632533
800000	-18.18	-18.18	741	0.2799999999999999	0.0001	49.77911945978801
810000	-18.12	-18.1	746	0.2709999999999999	0.0001	50.44579076766968
820000	-18.05	-18.05	750	0.262	0.0001	51.11526434421539
830000	-17.99	-17.98	755	0.253	0.0001	51.787140957514445
840000	-17.87	-17.87	760	0.244	0.0001	52.44611485004425
850000	-17.74	-17.74	764	0.235	0.0001	53.10256873766581
860000	-17.72	-17.68	769	0.22599999999999998	0.0001	53.774595618247986
870000	-17.59	-17.59	773	0.21699999999999997	0.0001	54.45201487938563
880000	-17.57	-17.55	778	0.20799999999999996	0.0001	55.117412237326306
890000	-17.52	-17.52	782	0.19899999999999995	0.0001	55.775119026501976
900000	-17.53	-17.48	787	0.18999999999999995	0.0001	56.43339687983195
910000	-17.46	-17.46	791	0.18099999999999994	0.0001	57.09172722498576
920000	-17.3	-17.3	796	0.17199999999999993	0.0001	57.75515145858129
930000	-17.2	-17.2	799	0.16299999999999992	0.0001	58.41497313578923
940000	-17.03	-17.03	803	0.15400000000000003	0.0001	59.080734463532764
950000	-16.92	-16.92	807	0.14500000000000002	0.0001	59.79161643187205
960000	-16.78	-16.78	811	0.136	0.0001	60.49916622241338
970000	-16.71	-16.71	815	0.127	0.0001	61.20471039613088
980000	-16.58	-16.58	818	0.118	0.0001	61.890524768829344
990000	-16.35	-16.35	822	0.10899999999999999	0.0001	62.575842106342314
1000000	-16.32	-16.32	825	0.1	0.0001	63.25858279466629
1010000	-16.23	-16.21	830	0.09996250000000001	0.0001	63.94882140556971
1020000	-16.04	-16.04	834	0.099925	0.0001	64.63630711237589
1030000	-15.89	-15.89	837	0.0998875	0.0001	65.32418742577235
