TimeStep	MeanReturn	BestMeanReturn	Episodes	Exploration	LearningRate	Time
60000	-20.4923076923	-20.4923076923	65	0.946	0.0001	6.047265076637268
70000	-20.4210526316	-20.4210526316	76	0.9369999999999999	0.0001	7.541370073954265
80000	-20.4367816092	-20.4367816092	87	0.9279999999999999	0.0001	9.036459044615428
90000	-20.4343434343	-20.4343434343	99	0.919	0.0001	10.509625073273977
100000	-20.39	-20.39	110	0.91	0.0001	11.768036802609762
110000	-20.34	-20.33	121	0.901	0.0001	13.096640415986379
120000	-20.31	-20.31	132	0.892	0.0001	14.557167613506317
130000	-20.26	-20.26	142	0.883	0.0001	16.04312141338984
140000	-20.28	-20.25	154	0.874	0.0001	17.53674279054006
150000	-20.21	-20.21	164	0.865	0.0001	19.028519813219706
160000	-20.27	-20.21	175	0.856	0.0001	20.520135768254598
170000	-20.21	-20.2	186	0.847	0.0001	22.03544901609421
180000	-20.22	-20.2	197	0.838	0.0001	23.58347674210866
190000	-20.24	-20.2	208	0.829	0.0001	25.13062992095947
200000	-20.26	-20.2	219	0.82	0.0001	26.711196088790892
210000	-20.25	-20.2	230	0.8109999999999999	0.0001	28.15011645158132
220000	-20.33	-20.2	241	0.802	0.0001	29.589734029769897
230000	-20.34	-20.2	252	0.7929999999999999	0.0001	31.03369928995768
240000	-20.36	-20.2	263	0.784	0.0001	32.483582786719005
250000	-20.34	-20.2	273	0.775	0.0001	33.93370377222697
260000	-20.38	-20.2	284	0.766	0.0001	35.38673226435979
270000	-20.34	-20.2	295	0.757	0.0001	36.84503850142161
280000	-20.3	-20.2	306	0.748	0.0001	38.3059366663297
290000	-20.26	-20.2	316	0.739	0.0001	39.770643989245094
300000	-20.24	-20.2	328	0.73	0.0001	41.2370578289032
310000	-20.2	-20.2	338	0.721	0.0001	42.70876439412435
320000	-20.16	-20.15	348	0.712	0.0001	44.2731251001358
330000	-20.17	-20.14	359	0.703	0.0001	45.79502343734105
